Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
27.07.2020 11:42:55,196	0	0,02898069	0	
27.07.2020 11:42:55,449	0	0,02898069	0	
27.07.2020 11:42:55,700	0	0,02898069	0	
27.07.2020 11:42:55,955	0	0,02898069	0	
27.07.2020 11:42:56,223	0	0,02898069	0	
27.07.2020 11:42:56,479	0	0,02898069	0	
27.07.2020 11:42:56,752	0	0,02898069	0	
27.07.2020 11:42:57,11	0	0,02898069	0	
27.07.2020 11:42:57,272	0	0,02898069	0	
27.07.2020 11:42:57,540	0	0,02898069	0	
27.07.2020 11:42:57,797	0	0,02898069	0	
27.07.2020 11:42:58,52	0	0,02898069	0	
27.07.2020 11:42:58,313	0	0,02898069	0	
27.07.2020 11:42:58,573	0	0,02898069	0	
27.07.2020 11:42:58,835	0	0,02898069	0	
27.07.2020 11:42:59,103	0	0,02898069	0	
27.07.2020 11:42:59,374	0	0,02898069	0	
27.07.2020 11:42:59,642	0	0,02898069	0	
27.07.2020 11:42:59,907	0	0,02898069	0	
27.07.2020 11:43:00,161	0	0,02898069	0	
27.07.2020 11:43:00,418	0	0,02898069	0	
27.07.2020 11:43:00,676	0	0,02898069	0	
27.07.2020 11:43:00,949	0	0,02898069	0	
27.07.2020 11:43:01,205	0	0,02898069	0	
27.07.2020 11:43:01,472	0	0,02898069	0	
27.07.2020 11:43:01,731	0	0,02898069	0	
27.07.2020 11:43:02,0	0	0,02898069	0	
27.07.2020 11:43:02,260	0	0,02898069	0	
27.07.2020 11:43:02,517	0	0,02899345	0	
27.07.2020 11:43:02,780	0,4204461	0,03705239	0	
27.07.2020 11:43:03,34	1,002916	0,04700061	0	
27.07.2020 11:43:03,301	1,479102	0,05577927	0	
27.07.2020 11:43:03,574	0,2640097	0,05773767	0	
27.07.2020 11:43:03,845	0	0,05779628	0	
27.07.2020 11:43:04,106	0	0,05779628	0	
27.07.2020 11:43:04,361	0	0,05779628	0	
27.07.2020 11:43:04,625	0	0,05779628	0	
27.07.2020 11:43:04,876	0	0,05779628	0	
27.07.2020 11:43:05,145	0	0,05779628	0	
27.07.2020 11:43:05,409	0	0,05779628	0	
27.07.2020 11:43:05,660	0	0,05779628	0	
27.07.2020 11:43:05,919	0	0,05779628	0	
27.07.2020 11:43:06,173	0	0,05779628	0	
27.07.2020 11:43:06,440	0	0,05779628	0	
27.07.2020 11:43:06,711	0	0,05779628	0	
27.07.2020 11:43:06,975	0	0,05779628	0	
27.07.2020 11:43:07,225	0	0,05779628	0	
27.07.2020 11:43:07,493	0	0,05779628	0	
27.07.2020 11:43:07,751	0	0,05779628	0	
27.07.2020 11:43:08,16	0	0,05779628	0	
27.07.2020 11:43:08,287	0	0,05779628	0	
27.07.2020 11:43:08,543	0	0,05779628	0	
27.07.2020 11:43:08,802	0	0,05779628	0	
27.07.2020 11:43:09,54	0	0,05779628	0	
27.07.2020 11:43:09,316	0	0,05779628	0	
27.07.2020 11:43:09,587	0	0,05779628	0	
27.07.2020 11:43:09,858	0	0,05779628	0	
27.07.2020 11:43:10,121	0	0,05779628	0	
27.07.2020 11:43:10,393	0	0,05779628	0	
27.07.2020 11:43:10,648	0	0,05779628	0	
27.07.2020 11:43:10,904	0	0,05779628	0	
27.07.2020 11:43:11,173	0	0,05779628	0	
27.07.2020 11:43:11,424	0	0,05779628	0	
27.07.2020 11:43:11,692	0	0,05779628	0	
27.07.2020 11:43:11,956	0	0,05779628	0	
27.07.2020 11:43:12,215	0	0,05779628	0	
27.07.2020 11:43:12,483	0	0,05779628	0	
27.07.2020 11:43:12,737	0	0,05779628	0	
27.07.2020 11:43:13,2	0,2584367	0,06257034	0	
27.07.2020 11:43:13,271	0,8538069	0,07307058	0	
