Zeit:	Istwert Durchfluss	Totalisator	Alarm Nr. 1	
				
28.07.2020 08:40:07,818	0	0,002334955	0	
28.07.2020 08:40:08,91	0	0,002334955	0	
28.07.2020 08:40:08,360	0	0,002334955	0	
28.07.2020 08:40:08,626	0	0,002334955	0	
28.07.2020 08:40:08,889	0	0,002334955	0	
28.07.2020 08:40:09,158	0	0,002334955	0	
28.07.2020 08:40:09,409	0	0,002334955	0	
28.07.2020 08:40:09,672	0	0,002334955	0	
28.07.2020 08:40:09,937	0	0,002334955	0	
28.07.2020 08:40:10,194	0	0,002334955	0	
28.07.2020 08:40:10,469	0	0,002334955	0	
28.07.2020 08:40:10,730	0	0,002334955	0	
28.07.2020 08:40:10,986	0	0,002334955	0	
28.07.2020 08:40:11,249	0	0,002334955	0	
28.07.2020 08:40:11,514	0	0,002334955	0	
28.07.2020 08:40:11,787	0	0,002334955	0	
28.07.2020 08:40:12,38	0	0,002334955	0	
28.07.2020 08:40:12,301	0	0,002334955	0	
28.07.2020 08:40:12,574	0	0,002334955	0	
28.07.2020 08:40:12,825	0	0,002334955	0	
28.07.2020 08:40:13,76	0,3334395	0,009047206	0	
28.07.2020 08:40:13,338	0,9292099	0,01894975	0	
28.07.2020 08:40:13,593	1,411837	0,02790014	0	
28.07.2020 08:40:13,847	0,391619	0,03046431	0	
28.07.2020 08:40:14,113	0	0,03074928	0	
28.07.2020 08:40:14,363	0	0,03074928	0	
28.07.2020 08:40:14,622	0	0,03074928	0	
28.07.2020 08:40:14,877	0	0,03074928	0	
28.07.2020 08:40:15,134	0	0,03074928	0	
28.07.2020 08:40:15,400	0	0,03074928	0	
28.07.2020 08:40:15,672	0	0,03074928	0	
28.07.2020 08:40:15,939	0	0,03074928	0	
28.07.2020 08:40:16,195	0	0,03074928	0	
28.07.2020 08:40:16,466	0	0,03074928	0	
28.07.2020 08:40:16,727	0	0,03074928	0	
28.07.2020 08:40:16,985	0	0,03074928	0	
28.07.2020 08:40:17,239	0	0,03074928	0	
28.07.2020 08:40:17,510	0	0,03074928	0	
28.07.2020 08:40:17,771	0	0,03074928	0	
28.07.2020 08:40:18,43	0	0,03074928	0	
28.07.2020 08:40:18,302	0	0,03074928	0	
28.07.2020 08:40:18,572	0	0,03074928	0	
28.07.2020 08:40:18,845	0	0,03074928	0	
28.07.2020 08:40:19,118	0	0,03074928	0	
28.07.2020 08:40:19,385	0	0,03074928	0	
28.07.2020 08:40:19,638	0	0,03074928	0	
28.07.2020 08:40:19,890	0	0,03074928	0	
28.07.2020 08:40:20,144	0	0,03074928	0	
28.07.2020 08:40:20,413	0	0,03074928	0	
28.07.2020 08:40:20,671	0	0,03074928	0	
28.07.2020 08:40:20,938	0	0,03074928	0	
28.07.2020 08:40:21,204	0	0,03074928	0	
28.07.2020 08:40:21,455	0	0,03074928	0	
28.07.2020 08:40:21,708	0	0,03074928	0	
28.07.2020 08:40:21,975	0	0,03074928	0	
28.07.2020 08:40:22,233	0	0,03074928	0	
28.07.2020 08:40:22,496	0	0,03074928	0	
28.07.2020 08:40:22,768	0	0,03074928	0	
28.07.2020 08:40:23,26	0	0,03074928	0	
28.07.2020 08:40:23,298	0,122557	0,03424127	0	
28.07.2020 08:40:23,560	0,7495905	0,04404203	0	
28.07.2020 08:40:23,812	1,275699	0,05310221	0	
28.07.2020 08:40:24,73	0,805114	0,05832011	0	
28.07.2020 08:40:24,334	0,04771774	0,05923139	0	
28.07.2020 08:40:24,602	0	0,05923139	0	
28.07.2020 08:40:24,853	0	0,05923139	0	
28.07.2020 08:40:25,114	0	0,05923139	0	
28.07.2020 08:40:25,367	0	0,05923139	0	
28.07.2020 08:40:25,624	0	0,05923139	0	
28.07.2020 08:40:25,890	0	0,05923139	0	
28.07.2020 08:40:26,154	0	0,05923139	0	
28.07.2020 08:40:26,413	0	0,05923139	0	
28.07.2020 08:40:26,684	0	0,05923139	0	
28.07.2020 08:40:26,951	0	0,05923139	0	
28.07.2020 08:40:27,218	0	0,05923139	0	
28.07.2020 08:40:27,482	0	0,05923139	0	
28.07.2020 08:40:27,732	0	0,05923139	0	
28.07.2020 08:40:28,6	0	0,05923139	0	
28.07.2020 08:40:28,278	0	0,05923139	0	
28.07.2020 08:40:28,548	0	0,05923139	0	
28.07.2020 08:40:28,802	0	0,05923139	0	
28.07.2020 08:40:29,53	0	0,05923139	0	
28.07.2020 08:40:29,326	0	0,05923139	0	
28.07.2020 08:40:29,581	0	0,05923139	0	
28.07.2020 08:40:29,833	0	0,05923139	0	
28.07.2020 08:40:30,93	0	0,05923139	0	
28.07.2020 08:40:30,355	0	0,05923139	0	
28.07.2020 08:40:30,618	0	0,05923139	0	
28.07.2020 08:40:30,883	0	0,05923139	0	
28.07.2020 08:40:31,156	0	0,05923139	0	
28.07.2020 08:40:31,427	0	0,05923139	0	
28.07.2020 08:40:31,693	0	0,05923139	0	
28.07.2020 08:40:31,945	0	0,05923139	0	
28.07.2020 08:40:32,208	0	0,05923139	0	
28.07.2020 08:40:32,459	0	0,05923139	0	
28.07.2020 08:40:32,727	0	0,05923139	0	
28.07.2020 08:40:32,978	0	0,05923139	0	
28.07.2020 08:40:33,243	0	0,05923139	0	
28.07.2020 08:40:33,517	0,001896844	0,06004861	0	
28.07.2020 08:40:33,770	0,5699717	0,06940753	0	
28.07.2020 08:40:34,29	1,128396	0,07833401	0	
28.07.2020 08:40:34,302	1,400292	0,08613362	0	
28.07.2020 08:40:34,576	0,1895912	0,08790751	0	
28.07.2020 08:40:34,843	0	0,08793255	0	
28.07.2020 08:40:35,108	0	0,08793255	0	
28.07.2020 08:40:35,377	0	0,08793255	0	
28.07.2020 08:40:35,632	0	0,08793255	0	
28.07.2020 08:40:35,895	0	0,08793255	0	
28.07.2020 08:40:36,166	0	0,08793255	0	
28.07.2020 08:40:36,426	0	0,08793255	0	
28.07.2020 08:40:36,691	0	0,08793255	0	
28.07.2020 08:40:36,960	0	0,08793255	0	
28.07.2020 08:40:37,219	0	0,08793255	0	
28.07.2020 08:40:37,474	0	0,08793255	0	
28.07.2020 08:40:37,748	0	0,08793255	0	
28.07.2020 08:40:38,16	0	0,08793255	0	
28.07.2020 08:40:38,273	0	0,08793255	0	
28.07.2020 08:40:38,528	0	0,08793255	0	
28.07.2020 08:40:38,801	0	0,08793255	0	
28.07.2020 08:40:39,73	0	0,08793255	0	
28.07.2020 08:40:39,343	0	0,08793255	0	
28.07.2020 08:40:39,599	0	0,08793255	0	
28.07.2020 08:40:39,857	0	0,08793255	0	
28.07.2020 08:40:40,123	0	0,08793255	0	
28.07.2020 08:40:40,374	0	0,08793255	0	
28.07.2020 08:40:40,628	0	0,08793255	0	
28.07.2020 08:40:40,893	0	0,08793255	0	
28.07.2020 08:40:41,167	0	0,08793255	0	
28.07.2020 08:40:41,418	0	0,08793255	0	
28.07.2020 08:40:41,669	0	0,08793255	0	
28.07.2020 08:40:41,930	0	0,08793255	0	
28.07.2020 08:40:42,202	0	0,08793255	0	
28.07.2020 08:40:42,454	0	0,08793255	0	
28.07.2020 08:40:42,708	0	0,08793255	0	
28.07.2020 08:40:42,977	0	0,08793255	0	
28.07.2020 08:40:43,243	0	0,08793255	0	
28.07.2020 08:40:43,515	0	0,08793255	0	
28.07.2020 08:40:43,784	0,01418089	0,0894061	0	
28.07.2020 08:40:44,55	0,6631983	0,09943781	0	
28.07.2020 08:40:44,307	1,206696	0,1090258	0	
28.07.2020 08:40:44,579	1,17509	0,1153423	0	
28.07.2020 08:40:44,832	0,2108893	0,1169	0	
28.07.2020 08:40:45,97	0	0,1169744	0	
28.07.2020 08:40:45,361	0	0,1169744	0	
28.07.2020 08:40:45,634	0	0,1169744	0	
28.07.2020 08:40:45,884	0	0,1169744	0	
28.07.2020 08:40:46,142	0	0,1169744	0	
28.07.2020 08:40:46,417	0	0,1169744	0	
28.07.2020 08:40:46,668	0	0,1169744	0	
28.07.2020 08:40:46,920	0	0,1169744	0	
